HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Serbia,Croatia,2011,4,2,6
Slovenia,Netherlands,2011,0,2,2
Portugal,Austria,2011,0,1,1
Romania,Spain,2011,0,4,4
Israel,Wales,2011,0,2,2
Czech Republic,Armenia,2011,5,0,5
Macedonia,Poland,2011,0,3,3
Italy,Greece,2011,2,0,2
Turkey,Romania,2011,1,2,3
Bulgaria,Belgium,2011,0,1,1
Hungary,Northern Ireland,2011,2,2,4
England,Serbia,2011,2,0,2
Denmark,Armenia,2011,11,0,11
Switzerland,Kazakhstan,2011,8,1,9
Spain,Germany,2011,2,2,4
Ukraine,Belarus,2011,0,1,1
Netherlands,Croatia,2011,2,0,2
Denmark,Chile,2011,4,0,4
Brazil,Italy,2011,5,1,6
Denmark,Italy,2011,2,2,4
Brazil,Chile,2011,4,0,4
Chile,Italy,2011,0,6,6
Brazil,Denmark,2011,0,1,1
Israel,Scotland,2011,1,6,7
Egypt,Ethiopia,2012,4,2,6
Namibia,Tanzania,2012,0,2,2
Ivory Coast,Guinea,2012,5,1,6
Zambia,Malawi,2012,7,0,7
Morocco,Tunisia,2012,2,0,2
Botswana,Zimbabwe,2012,0,1,1
Uganda,DR Congo,2012,1,1,2
Mali,Ghana,2012,0,3,3
Dominican Republic,United States,2012,0,14,14
United States,Guatemala,2012,13,0,13
United States,Mexico,2012,4,0,4
United States,Costa Rica,2012,3,0,3
Tunisia,Morocco,2012,2,0,2
DR Congo,Uganda,2012,4,0,4
Ethiopia,Egypt,2012,4,0,4
Tanzania,Namibia,2012,5,2,7
Guinea,Ivory Coast,2012,0,5,5
Malawi,Zambia,2012,4,2,6
Zimbabwe,Botswana,2012,2,1,3
Ghana,Mali,2012,5,0,5
Canada,United States,2012,0,4,4
United States,New Zealand,2012,2,1,3
Greece,Bosnia and Herzegovina,2012,2,3,5
Turkey,Germany,2012,0,5,5
Belgium,Northern Ireland,2012,2,2,4
Portugal,Armenia,2012,6,0,6
China PR,Mexico,2012,1,0,1
South Korea,North Korea,2012,0,1,1
China PR,South Korea,2012,0,0,0
Mexico,North Korea,2012,0,1,1
China PR,North Korea,2012,0,0,0
Mexico,South Korea,2012,2,3,5
France,Switzerland,2012,3,0,3
England,Finland,2012,3,1,4
Netherlands,Italy,2012,2,1,3
Canada,Scotland,2012,5,1,6
South Korea,South Africa,2012,2,1,3
New Zealand,Northern Ireland,2012,2,0,2
Germany,Iceland,2012,1,0,1
Sweden,China PR,2012,1,0,1
Japan,Norway,2012,2,1,3
United States,Denmark,2012,5,0,5
Republic of Ireland,Hungary,2012,0,1,1
Portugal,Wales,2012,0,1,1
Switzerland,England,2012,0,1,1
Finland,France,2012,1,2,3
Scotland,Netherlands,2012,2,1,3
Italy,Canada,2012,1,2,3
Northern Ireland,South Korea,2012,0,1,1
South Africa,New Zealand,2012,0,0,0
Iceland,Sweden,2012,1,4,5
Germany,China PR,2012,1,0,1
Denmark,Japan,2012,0,2,2
United States,Norway,2012,2,1,3
Portugal,Hungary,2012,4,0,4
Wales,Republic of Ireland,2012,0,0,0
England,France,2012,0,3,3
Finland,Switzerland,2012,3,1,4
Italy,Scotland,2012,2,1,3
Netherlands,Canada,2012,0,1,1
New Zealand,South Korea,2012,1,1,2
Northern Ireland,South Africa,2012,0,2,2
Sweden,Germany,2012,0,4,4
China PR,Iceland,2012,0,1,1
Norway,Denmark,2012,0,1,1
Japan,United States,2012,1,0,1
Hungary,Wales,2012,1,2,3
Portugal,Republic of Ireland,2012,2,1,3
Switzerland,Northern Ireland,2012,5,0,5
Scotland,South Africa,2012,2,0,2
New Zealand,Netherlands,2012,2,2,4
South Korea,Finland,2012,1,1,2
England,Italy,2012,1,3,4
France,Canada,2012,2,0,2
Hungary,Republic of Ireland,2012,1,2,3
Portugal,China PR,2012,0,1,1
Wales,Norway,2012,0,3,3
Iceland,Denmark,2012,1,3,4
Sweden,United States,2012,0,4,4
Germany,Japan,2012,4,3,7
Russia,Macedonia,2012,8,0,8
Greece,Poland,2012,1,1,2
Italy,Bosnia and Herzegovina,2012,4,0,4
Romania,Kazakhstan,2012,3,0,3
Germany,Spain,2012,5,0,5
Switzerland,Turkey,2012,5,0,5
Bulgaria,Norway,2012,0,3,3
France,Scotland,2012,2,0,2
Slovakia,Finland,2012,0,1,1
Croatia,England,2012,0,6,6
Portugal,Czech Republic,2012,2,5,7
Japan,United States,2012,1,1,2
Armenia,Austria,2012,2,4,6
Brazil,United States,2012,0,3,3
Russia,Italy,2012,0,2,2
Greece,Macedonia,2012,2,2,4
Hungary,Norway,2012,0,5,5
Belgium,Iceland,2012,1,0,1
France,Wales,2012,4,0,4
Czech Republic,Denmark,2012,0,2,2
Spain,Kazakhstan,2012,13,0,13
Switzerland,Germany,2012,0,6,6
Scotland,Republic of Ireland,2012,2,1,3
Finland,Slovakia,2012,2,0,2
Ukraine,Estonia,2012,5,0,5
Netherlands,Slovenia,2012,3,1,4
Austria,Portugal,2012,1,0,1
Northern Ireland,Hungary,2012,0,1,1
Northern Ireland,Bulgaria,2012,4,1,5
Ivory Coast,Mozambique,2012,7,0,7
Zambia,South Africa,2012,1,4,5
Morocco,Senegal,2012,0,0,0
Ghana,Cameroon,2012,1,1,2
Ethiopia,Tanzania,2012,2,1,3
Zimbabwe,Nigeria,2012,0,2,2
United States,China PR,2012,4,1,5
Germany,Romania,2012,5,0,5
Sweden,United States,2012,1,3,4
Tanzania,Ethiopia,2012,0,1,1
Mozambique,Ivory Coast,2012,0,5,5
South Africa,Zambia,2012,2,1,3
Senegal,Morocco,2012,0,0,0
Nigeria,Zimbabwe,2012,4,0,4
Italy,Macedonia,2012,9,0,9
Russia,Greece,2012,4,0,4
Bosnia and Herzegovina,Poland,2012,0,2,2
Switzerland,Spain,2012,4,3,7
Norway,Bulgaria,2012,11,0,11
Iceland,Hungary,2012,3,0,3
Scotland,Israel,2012,8,0,8
Republic of Ireland,Wales,2012,0,1,1
Estonia,Belarus,2012,2,4,6
Ukraine,Finland,2012,1,2,3
Croatia,Serbia,2012,1,4,5
Czech Republic,Austria,2012,2,3,5
Cameroon,Ghana,2012,1,1,2
England,Netherlands,2012,1,0,1
Japan,United States,2012,1,4,5
Poland,Macedonia,2012,4,0,4
Hungary,Belgium,2012,1,3,4
Norway,Northern Ireland,2012,2,0,2
Wales,Israel,2012,5,0,5
Finland,Belarus,2012,4,0,4
Slovakia,Ukraine,2012,0,2,2
Serbia,Netherlands,2012,0,4,4
Denmark,Czech Republic,2012,1,0,1
Bosnia and Herzegovina,Russia,2012,0,1,1
Spain,Turkey,2012,4,0,4
Romania,Switzerland,2012,4,2,6
Bulgaria,Iceland,2012,0,10,10
Republic of Ireland,Scotland,2012,0,1,1
Slovenia,England,2012,0,4,4
United States,Canada,2012,2,1,3
Equatorial Guinea,Cameroon,2012,2,0,2
Great Britain,New Zealand,2012,1,0,1
Cameroon,Brazil,2012,0,5,5
Japan,Canada,2012,2,1,3
Sweden,South Africa,2012,4,1,5
United States,France,2012,4,2,6
Colombia,North Korea,2012,0,2,2
New Zealand,Brazil,2012,0,1,1
Great Britain,Cameroon,2012,3,0,3
Japan,Sweden,2012,0,0,0
Canada,South Africa,2012,3,0,3
United States,Colombia,2012,3,0,3
France,North Korea,2012,5,0,5
New Zealand,Cameroon,2012,3,1,4
Great Britain,Brazil,2012,1,0,1
Japan,South Africa,2012,0,0,0
Canada,Sweden,2012,2,2,4
United States,North Korea,2012,1,0,1
France,Colombia,2012,1,0,1
Sweden,France,2012,1,2,3
United States,New Zealand,2012,2,0,2
Brazil,Japan,2012,0,2,2
Great Britain,Canada,2012,0,2,2
France,Japan,2012,1,2,3
Canada,United States,2012,3,4,7
Canada,France,2012,1,0,1
United States,Japan,2012,2,1,3
Estonia,Slovakia,2012,0,2,2
United States,Costa Rica,2012,8,0,8
Macedonia,Russia,2012,0,6,6
Bosnia and Herzegovina,Greece,2012,1,1,2
Kazakhstan,Germany,2012,0,7,7
Turkey,Switzerland,2012,1,3,4
Norway,Belgium,2012,3,2,5
Iceland,Northern Ireland,2012,2,0,2
Wales,Scotland,2012,1,2,3
France,Republic of Ireland,2012,4,0,4
Estonia,Finland,2012,0,5,5
Belarus,Ukraine,2012,0,5,5
Slovenia,Croatia,2012,1,0,1
Austria,Denmark,2012,3,1,4
Italy,Poland,2012,1,0,1
United States,Australia,2012,2,1,3
Greece,Italy,2012,0,0,0
Bosnia and Herzegovina,Macedonia,2012,1,0,1
Russia,Poland,2012,1,1,2
Kazakhstan,Switzerland,2012,1,0,1
Germany,Turkey,2012,10,0,10
Spain,Romania,2012,0,0,0
Hungary,Bulgaria,2012,9,0,9
Northern Ireland,Belgium,2012,0,2,2
Norway,Iceland,2012,2,1,3
Israel,Republic of Ireland,2012,0,2,2
Scotland,France,2012,0,5,5
Belarus,Slovakia,2012,1,0,1
Finland,Ukraine,2012,0,1,1
Serbia,Slovenia,2012,3,0,3
England,Croatia,2012,3,0,3
Armenia,Czech Republic,2012,0,2,2
Denmark,Portugal,2012,2,0,2
United States,Australia,2012,6,2,8
Scotland,Spain,2012,1,1,2
Ukraine,Iceland,2012,2,3,5
United States,Germany,2012,1,1,2
Austria,Russia,2012,0,2,2
United States,Germany,2012,2,2,4
Spain,Scotland,2012,3,2,5
Russia,Austria,2012,1,1,2
Iceland,Ukraine,2012,3,2,5
Equatorial Guinea,South Africa,2012,1,0,1
Senegal,DR Congo,2012,0,1,1
Nigeria,Cameroon,2012,2,1,3
Ivory Coast,Ethiopia,2012,5,0,5
South Africa,Senegal,2012,1,0,1
Equatorial Guinea,DR Congo,2012,6,0,6
Cameroon,Ivory Coast,2012,4,1,5
Ethiopia,Nigeria,2012,0,3,3
Equatorial Guinea,Senegal,2012,5,0,5
South Africa,DR Congo,2012,4,1,5
Nigeria,Ivory Coast,2012,3,1,4
Cameroon,Ethiopia,2012,0,0,0
Nigeria,South Africa,2012,0,1,1
Cameroon,Nigeria,2012,1,0,1
Equatorial Guinea,South Africa,2012,4,0,4
United States,Republic of Ireland,2012,5,0,5
United States,Republic of Ireland,2012,2,0,2
United States,China PR,2012,2,0,2
Brazil,Portugal,2012,4,0,4
Mexico,Denmark,2012,0,5,5
United States,China PR,2012,4,0,4
Denmark,Portugal,2012,0,0,0
Brazil,Mexico,2012,1,2,3
United States,China PR,2012,4,1,5
Brazil,Denmark,2012,2,1,3
Portugal,Mexico,2012,1,0,1
Italy,Chile,2012,3,2,5
Brazil,Denmark,2012,2,1,3
Portugal,Mexico,2012,0,2,2
Brazil,Denmark,2012,2,2,4
Norway,South Korea,2013,2,0,2
China PR,Canada,2013,0,1,1
China PR,Norway,2013,0,1,1
Canada,South Korea,2013,1,3,4
China PR,South Korea,2013,2,0,2
Canada,Norway,2013,0,0,0
United States,Scotland,2013,4,1,5
United States,Scotland,2013,3,1,4
Norway,Japan,2013,2,0,2
Denmark,Germany,2013,0,0,0
United States,Iceland,2013,3,0,3
Sweden,China PR,2013,1,1,2
Mexico,Hungary,2013,1,0,1
Portugal,Wales,2013,2,0,2
New Zealand,Scotland,2013,1,0,1
England,Italy,2013,4,2,6
Canada,Switzerland,2013,2,0,2
Finland,Netherlands,2013,1,1,2
South Korea,South Africa,2013,2,0,2
Republic of Ireland,Northern Ireland,2013,5,1,6
Germany,Japan,2013,2,1,3
Norway,Denmark,2013,0,0,0
United States,China PR,2013,5,0,5
Sweden,Iceland,2013,6,1,7
Portugal,Hungary,2013,0,2,2
Wales,Mexico,2013,1,0,1
New Zealand,Italy,2013,2,0,2
Scotland,England,2013,4,4,8
Switzerland,Netherlands,2013,1,1,2
Finland,Canada,2013,1,2,3
Republic of Ireland,South Africa,2013,1,0,1
South Korea,Northern Ireland,2013,3,0,3
Denmark,Japan,2013,0,2,2
Germany,Norway,2013,2,0,2
China PR,Iceland,2013,1,0,1
Sweden,United States,2013,1,1,2
Wales,Hungary,2013,1,1,2
Portugal,Mexico,2013,0,3,3
England,New Zealand,2013,3,1,4
Italy,Scotland,2013,1,2,3
Finland,Switzerland,2013,2,3,5
Netherlands,Canada,2013,0,1,1
South Africa,Northern Ireland,2013,2,1,3
South Korea,Republic of Ireland,2013,0,0,0
Portugal,Wales,2013,1,1,2
Hungary,Iceland,2013,1,4,5
Mexico,Denmark,2013,0,3,3
Japan,China PR,2013,1,0,1
Norway,Sweden,2013,2,2,4
Germany,United States,2013,0,2,2
South Africa,Northern Ireland,2013,1,1,2
South Korea,Italy,2013,0,1,1
Republic of Ireland,Finland,2013,0,1,1
Scotland,Netherlands,2013,1,0,1
New Zealand,Switzerland,2013,2,1,3
England,Canada,2013,1,0,1
Germany,United States,2013,3,3,6
Netherlands,United States,2013,1,3,4
Iran,Philippines,2013,0,6,6
Bangladesh,Thailand,2013,0,9,9
Palestine,Taiwan,2013,0,6,6
Myanmar,India,2013,2,0,2
Bahrain,Vietnam,2013,0,8,8
Hong Kong,Kyrgyzstan,2013,2,1,3
Philippines,Thailand,2013,0,1,1
Bangladesh,Iran,2013,0,2,2
Palestine,Myanmar,2013,0,9,9
India,Taiwan,2013,1,2,3
Bahrain,Hong Kong,2013,1,3,4
Kyrgyzstan,Vietnam,2013,0,12,12
Thailand,Iran,2013,5,1,6
Bangladesh,Philippines,2013,0,4,4
Palestine,India,2013,1,1,2
Myanmar,Taiwan,2013,0,0,0
Vietnam,Hong Kong,2013,4,0,4
Bahrain,Kyrgyzstan,2013,4,1,5
Canada,United States,2013,0,3,3
Uzbekistan,Kuwait,2013,18,0,18
Jordan,Lebanon,2013,5,0,5
Lebanon,Uzbekistan,2013,0,4,4
Jordan,Kuwait,2013,21,0,21
Lebanon,Kuwait,2013,12,1,13
Jordan,Uzbekistan,2013,4,0,4
United States,South Korea,2013,4,1,5
United States,South Korea,2013,5,0,5
Italy,Finland,2013,0,0,0
Sweden,Denmark,2013,1,1,2
Norway,Iceland,2013,1,1,2
Germany,Netherlands,2013,0,0,0
France,Russia,2013,3,1,4
England,Spain,2013,2,3,5
Italy,Denmark,2013,2,1,3
Sweden,Finland,2013,5,0,5
Norway,Netherlands,2013,1,0,1
Iceland,Germany,2013,0,3,3
England,Russia,2013,1,1,2
Spain,France,2013,0,1,1
Sweden,Italy,2013,3,1,4
Denmark,Finland,2013,1,1,2
Germany,Norway,2013,0,1,1
Netherlands,Iceland,2013,0,1,1
France,England,2013,3,0,3
Russia,Spain,2013,1,1,2
Sweden,Iceland,2013,4,0,4
Italy,Germany,2013,0,1,1
Norway,Spain,2013,3,1,4
France,Denmark,2013,1,1,2
Sweden,Germany,2013,0,1,1
Norway,Denmark,2013,1,1,2
Germany,Norway,2013,1,0,1
United States,Mexico,2013,7,0,7
China PR,Mexico,2013,1,0,1
Brazil,New Zealand,2013,0,1,1
Mexico,Brazil,2013,0,4,4
China PR,New Zealand,2013,0,4,4
United States,Australia,2013,4,0,4
United States,New Zealand,2013,4,1,5
United States,New Zealand,2013,1,1,2
United States,Brazil,2013,4,1,5
Scotland,Canada,2013,0,2,2
Brazil,Chile,2013,2,0,2
Brazil,Scotland,2013,3,1,4
Chile,Canada,2013,1,0,1
Chile,Scotland,2013,4,3,7
Brazil,Canada,2013,0,0,0
Canada,Scotland,2013,1,0,1
Brazil,Chile,2013,5,0,5
United States,Canada,2014,1,0,1
United States,Russia,2014,7,0,7
China PR,New Zealand,2014,1,0,1
North Korea,Mexico,2014,2,0,2
China PR,Mexico,2014,3,1,4
North Korea,New Zealand,2014,1,0,1
United States,Russia,2014,8,0,8
Algeria,Morocco,2014,2,0,2
Botswana,Zimbabwe,2014,0,1,1
Zambia,Tanzania,2014,2,1,3
Ivory Coast,Mali,2014,4,0,4
China PR,North Korea,2014,1,0,1
New Zealand,Mexico,2014,1,2,3
Egypt,Tunisia,2014,0,3,3
Burkina Faso,Ghana,2014,0,3,3
Rwanda,Kenya,2014,1,0,1
Mali,Ivory Coast,2014,0,1,1
Tanzania,Zambia,2014,1,1,2
Morocco,Algeria,2014,0,0,0
Tunisia,Egypt,2014,2,2,4
Ghana,Burkina Faso,2014,3,0,3
Kenya,Rwanda,2014,2,1,3
Zimbabwe,Botswana,2014,2,1,3
Norway,China PR,2014,0,1,1
Germany,Iceland,2014,5,0,5
Japan,United States,2014,1,1,2
Sweden,Denmark,2014,2,0,2
Russia,North Korea,2014,1,2,3
Portugal,Austria,2014,3,2,5
Canada,Finland,2014,3,0,3
England,Italy,2014,2,0,2
Netherlands,Australia,2014,2,2,4
France,Scotland,2014,1,1,2
New Zealand,Republic of Ireland,2014,1,1,2
Switzerland,South Korea,2014,1,1,2
Norway,Iceland,2014,1,2,3
Germany,China PR,2014,1,0,1
Sweden,United States,2014,1,0,1
Japan,Denmark,2014,1,0,1
Portugal,Russia,2014,1,3,4
Austria,North Korea,2014,0,2,2
Finland,England,2014,0,3,3
Canada,Italy,2014,3,1,4
Scotland,Netherlands,2014,4,3,7
Australia,France,2014,2,3,5
Republic of Ireland,South Korea,2014,1,1,2
Switzerland,New Zealand,2014,2,1,3
China PR,Iceland,2014,0,1,1
Norway,Germany,2014,1,3,4
Japan,Sweden,2014,2,1,3
United States,Denmark,2014,3,5,8
Portugal,North Korea,2014,0,2,2
Austria,Russia,2014,3,2,5
England,Canada,2014,2,0,2
Italy,Finland,2014,1,1,2
Netherlands,France,2014,0,3,3
Australia,Scotland,2014,2,4,6
Switzerland,Republic of Ireland,2014,1,2,3
South Korea,New Zealand,2014,4,0,4
Portugal,Austria,2014,1,2,3
Russia,Norway,2014,1,0,1
North Korea,United States,2014,0,3,3
China PR,Denmark,2014,1,1,2
Iceland,Sweden,2014,2,1,3
Germany,Japan,2014,3,0,3
Finland,New Zealand,2014,0,1,1
Netherlands,Switzerland,2014,4,1,5
Italy,Australia,2014,2,5,7
Canada,Republic of Ireland,2014,2,1,3
Scotland,South Korea,2014,1,1,2
England,France,2014,0,2,2
United States,China PR,2014,2,0,2
United States,China PR,2014,3,0,3
Canada,United States,2014,1,1,2
Vietnam,Jordan,2014,3,1,4
Australia,Japan,2014,2,2,4
South Korea,Myanmar,2014,12,0,12
China PR,Thailand,2014,7,0,7
Jordan,Australia,2014,1,3,4
Vietnam,Japan,2014,0,4,4
Myanmar,China PR,2014,0,3,3
Thailand,South Korea,2014,0,4,4
Vietnam,Australia,2014,0,2,2
Japan,Jordan,2014,7,0,7
South Korea,China PR,2014,0,0,0
Thailand,Myanmar,2014,2,1,3
Honduras,Belize,2014,8,0,8
Guatemala,Panama,2014,1,0,1
Nicaragua,El Salvador,2014,0,2,2
Vietnam,Thailand,2014,1,2,3
Belize,Panama,2014,1,13,14
Guatemala,Honduras,2014,3,2,5
El Salvador,Costa Rica,2014,0,4,4
Japan,China PR,2014,2,1,3
South Korea,Australia,2014,1,2,3
Algeria,Tunisia,2014,2,1,3
Ivory Coast,Equatorial Guinea,2014,1,1,2
Comoros,South Africa,2014,0,13,13
Rwanda,Nigeria,2014,1,4,5
Senegal,Cameroon,2014,1,1,2
Panama,Honduras,2014,4,1,5
Guatemala,Belize,2014,5,0,5
Costa Rica,Nicaragua,2014,3,0,3
Ethiopia,Ghana,2014,0,2,2
Zimbabwe,Zambia,2014,0,1,1
China PR,South Korea,2014,2,1,3
Japan,Australia,2014,1,0,1
Guatemala,Costa Rica,2014,0,3,3
Equatorial Guinea,Ivory Coast,2014,2,2,4
Nigeria,Rwanda,2014,8,0,8
Tunisia,Algeria,2014,2,3,5
Ghana,Ethiopia,2014,3,0,3
Cameroon,Senegal,2014,1,0,1
Zambia,Zimbabwe,2014,1,0,1
United States,France,2014,1,0,1
United States,France,2014,2,2,4
United States,Switzerland,2014,4,1,5
United States,Mexico,2014,8,0,8
United States,Mexico,2014,4,0,4
Namibia,Zambia,2014,2,0,2
Nigeria,Ivory Coast,2014,4,2,6
South Africa,Cameroon,2014,0,1,1
Algeria,Ghana,2014,1,0,1
Zambia,Nigeria,2014,0,6,6
Namibia,Ivory Coast,2014,1,3,4
Cameroon,Algeria,2014,2,0,2
Ghana,South Africa,2014,1,1,2
Guatemala,Haiti,2014,0,1,1
United States,Trinidad and Tobago,2014,1,0,1
Jamaica,Martinique,2014,6,0,6
Costa Rica,Mexico,2014,1,0,1
Namibia,Nigeria,2014,0,2,2
Zambia,Ivory Coast,2014,1,1,2
Haiti,Trinidad and Tobago,2014,0,1,1
United States,Guatemala,2014,5,0,5
South Africa,Algeria,2014,5,1,6
Cameroon,Ghana,2014,0,1,1
Costa Rica,Jamaica,2014,2,1,3
Martinique,Mexico,2014,0,10,10
Trinidad and Tobago,Guatemala,2014,2,1,3
United States,Haiti,2014,6,0,6
Martinique,Costa Rica,2014,1,6,7
Mexico,Jamaica,2014,3,1,4
Nigeria,South Africa,2014,2,1,3
Cameroon,Ivory Coast,2014,2,1,3
Costa Rica,Trinidad and Tobago,2014,1,1,2
United States,Mexico,2014,3,0,3
South Africa,Ivory Coast,2014,0,1,1
Nigeria,Cameroon,2014,2,0,2
New Zealand,Tonga,2014,16,0,16
Papua New Guinea,Cook Islands,2014,4,1,5
Trinidad and Tobago,Mexico,2014,2,4,6
United States,Costa Rica,2014,6,0,6
Tonga,Cook Islands,2014,1,1,2
Papua New Guinea,New Zealand,2014,0,3,3
Cook Islands,New Zealand,2014,0,11,11
Papua New Guinea,Tonga,2014,3,0,3
United States,China PR,2014,1,1,2
Brazil,Argentina,2014,4,0,4
China PR,United States,2014,1,1,2
Argentina,China PR,2014,0,6,6
Brazil,United States,2014,3,2,5
Brazil,United States,2014,3,2,5
United States,Argentina,2014,7,0,7
Brazil,China PR,2014,4,1,5
United States,Argentina,2014,7,0,7
China PR,Argentina,2014,0,0,0
Brazil,United States,2014,0,0,0
Brazil,United States,2014,0,0,0
Canada,South Korea,2015,2,1,3
China PR,Mexico,2015,0,0,0
Canada,Mexico,2015,2,1,3
China PR,South Korea,2015,2,3,5
China PR,Canada,2015,1,2,3
South Korea,Mexico,2015,2,1,3
France,United States,2015,2,0,2
England,United States,2015,0,1,1
Brazil,China PR,2015,0,0,0
Germany,Sweden,2015,2,4,6
Switzerland,Iceland,2015,2,0,2
Norway,United States,2015,1,2,3
Japan,Denmark,2015,1,2,3
Portugal,France,2015,0,1,1
South Korea,Italy,2015,1,2,3
Scotland,Canada,2015,0,2,2
Finland,England,2015,1,3,4
Netherlands,Australia,2015,0,1,1
Mexico,South Africa,2015,2,0,2
Czech Republic,Belgium,2015,2,2,4
Germany,China PR,2015,2,0,2
Sweden,Brazil,2015,0,2,2
United States,Switzerland,2015,3,0,3
Norway,Iceland,2015,1,0,1
Portugal,Japan,2015,0,3,3
France,Denmark,2015,4,1,5
Canada,South Korea,2015,1,0,1
Italy,Scotland,2015,3,2,5
Finland,Netherlands,2015,0,0,0
Australia,England,2015,0,3,3
Belgium,South Africa,2015,0,1,1
Czech Republic,Mexico,2015,0,1,1
Brazil,Germany,2015,1,3,4
Sweden,China PR,2015,3,0,3
United States,Iceland,2015,0,0,0
Norway,Switzerland,2015,2,2,4
Japan,France,2015,1,3,4
Portugal,Denmark,2015,2,2,4
Italy,Canada,2015,0,1,1
Scotland,South Korea,2015,2,1,3
Netherlands,England,2015,1,1,2
Australia,Finland,2015,3,0,3
South Africa,Czech Republic,2015,0,1,1
Mexico,Belgium,2015,0,0,0
Portugal,China PR,2015,3,3,6
Japan,Iceland,2015,2,0,2
Brazil,Switzerland,2015,4,1,5
Norway,Denmark,2015,5,2,7
Sweden,Germany,2015,1,2,3
France,United States,2015,0,2,2
South Korea,Belgium,2015,1,1,2
Finland,South Africa,2015,2,1,3
Scotland,Netherlands,2015,3,1,4
Australia,Czech Republic,2015,6,2,8
Italy,Mexico,2015,2,3,5
Canada,England,2015,0,1,1
Luxembourg,Latvia,2015,4,3,7
Moldova,Lithuania,2015,2,0,2
Georgia,Faroe Islands,2015,2,0,2
Andorra,Malta,2015,3,5,8
United States,New Zealand,2015,4,0,4
Lithuania,Luxembourg,2015,2,0,2
Moldova,Latvia,2015,0,1,1
Faroe Islands,Andorra,2015,8,0,8
Georgia,Malta,2015,1,2,3
Luxembourg,Moldova,2015,0,3,3
Latvia,Lithuania,2015,1,1,2
Malta,Faroe Islands,2015,2,4,6
Andorra,Georgia,2015,0,7,7
United States,Republic of Ireland,2015,3,0,3
United States,Mexico,2015,5,1,6
Japan,New Zealand,2015,1,0,1
United States,South Korea,2015,0,0,0
Canada,China PR,2015,1,0,1
New Zealand,Netherlands,2015,0,1,1
Norway,Thailand,2015,4,0,4
Germany,Ivory Coast,2015,10,0,10
Cameroon,Ecuador,2015,6,0,6
Japan,Switzerland,2015,1,0,1
Sweden,Nigeria,2015,3,3,6
United States,Australia,2015,3,1,4
Spain,Costa Rica,2015,1,1,2
Brazil,South Korea,2015,2,0,2
France,England,2015,1,0,1
Colombia,Mexico,2015,1,1,2
China PR,Netherlands,2015,1,0,1
Canada,New Zealand,2015,0,0,0
Germany,Norway,2015,1,1,2
Ivory Coast,Thailand,2015,2,3,5
Switzerland,Ecuador,2015,10,1,11
Japan,Cameroon,2015,2,1,3
Australia,Nigeria,2015,2,0,2
United States,Sweden,2015,0,0,0
Brazil,Spain,2015,1,0,1
South Korea,Costa Rica,2015,2,2,4
France,Colombia,2015,0,2,2
England,Mexico,2015,2,1,3
Canada,Netherlands,2015,1,1,2
China PR,New Zealand,2015,2,2,4
Thailand,Germany,2015,0,4,4
Ivory Coast,Norway,2015,1,3,4
Ecuador,Japan,2015,0,1,1
Switzerland,Cameroon,2015,1,2,3
Nigeria,United States,2015,0,1,1
Australia,Sweden,2015,1,1,2
Costa Rica,Brazil,2015,0,1,1
South Korea,Spain,2015,2,1,3
Mexico,France,2015,0,5,5
England,Colombia,2015,2,1,3
Germany,Sweden,2015,4,1,5
China PR,Cameroon,2015,1,0,1
Brazil,Australia,2015,0,1,1
France,South Korea,2015,3,0,3
Canada,Switzerland,2015,1,0,1
Norway,England,2015,1,2,3
United States,Colombia,2015,2,0,2
Japan,Netherlands,2015,2,1,3
Germany,France,2015,1,1,2
China PR,United States,2015,0,1,1
Australia,Japan,2015,0,1,1
Canada,England,2015,1,2,3
United States,Germany,2015,2,0,2
Japan,England,2015,2,1,3
Germany,England,2015,0,1,1
United States,Japan,2015,5,2,7
United States,Costa Rica,2015,8,0,8
United States,Costa Rica,2015,7,2,9
Finland,Montenegro,2015,1,0,1
Moldova,Sweden,2015,0,3,3
Turkey,Croatia,2015,1,4,5
Estonia,Serbia,2015,0,1,1
Kazakhstan,Austria,2015,0,2,2
United States,Haiti,2015,5,0,5
Germany,Hungary,2015,12,0,12
Italy,Georgia,2015,6,1,7
United States,Haiti,2015,8,0,8
Republic of Ireland,Finland,2015,0,2,2
Estonia,England,2015,0,8,8
Slovenia,Scotland,2015,0,3,3
Iceland,Belarus,2015,2,0,2
France,Romania,2015,3,0,3
Sweden,Poland,2015,3,0,3
Croatia,Germany,2015,0,1,1
Georgia,Czech Republic,2015,0,3,3
Belgium,Bosnia and Herzegovina,2015,6,0,6
Kazakhstan,Norway,2015,0,4,4
Austria,Wales,2015,3,0,3
Slovenia,Belarus,2015,3,0,3
Hungary,Turkey,2015,1,0,1
United States,Brazil,2015,1,1,2
Macedonia,Iceland,2015,0,4,4
Albania,Greece,2015,1,4,5
Ukraine,Romania,2015,2,2,4
Poland,Slovakia,2015,2,0,2
Denmark,Moldova,2015,4,0,4
Germany,Russia,2015,2,0,2
Israel,Kazakhstan,2015,0,0,0
Scotland,Belarus,2015,7,0,7
Bosnia and Herzegovina,Estonia,2015,4,0,4
Norway,Wales,2015,4,0,4
China PR,England,2015,2,1,3
Italy,Switzerland,2015,0,3,3
Georgia,Northern Ireland,2015,0,3,3
United States,Brazil,2015,3,1,4
Germany,Turkey,2015,7,0,7
Croatia,Hungary,2015,1,1,2
